,actual,predicted,word,word_unk,count
0,#,$,#,#,31
1,#,CD,#,#,4
2,#,DT,#,#,1
3,#,IN,#,#,1
4,#,JJ,#,#,1
5,#,NN,#,#,1
6,#,PRP,#,#,1
7,#,VB,#,#,1
8,$,",",US$,US$,1
9,$,CD,$,$,8
10,$,CD,M$,<UNK>,2
11,$,DT,$,$,6
12,$,DT,C$,C$,1
13,$,DT,M$,<UNK>,1
14,$,IN,$,$,1
15,$,IN,M$,<UNK>,1
16,$,IN,S$,<UNK>,1
17,$,JJ,$,$,1
18,$,JJ,M$,<UNK>,1
19,$,MD,$,$,1
20,$,NN,$,$,3
21,$,NN,C$,C$,1
22,$,NN,M$,<UNK>,2
23,$,NNP,$,$,4
24,$,NNP,S$,<UNK>,1
25,$,PRP$,$,$,1
26,$,RB,$,$,1
27,$,TO,$,$,5
28,$,VB,$,$,1
29,$,VB,M$,<UNK>,1
30,$,VBD,$,$,1
31,$,VBG,$,$,1
32,$,VBN,$,$,1
33,'',$,'','',1
34,'',(,'','',1
35,'',),'','',2
36,'',",",'','',5
37,'',.,',',1
38,'',.,'','',7
39,'',CC,'','',6
40,'',CD,'','',3
41,'',DT,',',1
42,'',DT,'','',12
43,'',IN,'','',13
44,'',JJ,'','',4
45,'',MD,'','',3
46,'',NN,'','',16
47,'',NNP,'','',6
48,'',NNS,'','',9
49,'',PDT,'','',1
50,'',POS,',',7
51,'',PRP,'','',5
52,'',PRP$,'','',1
53,'',RB,'','',5
54,'',RBR,'','',1
55,'',RP,'','',1
56,'',TO,'','',3
57,'',VB,'','',4
58,'',VBD,'','',3
59,'',VBG,'','',3
60,'',VBN,'','',9
61,'',VBP,'','',5
62,'',VBZ,'','',2
63,'',WDT,'','',3
64,'',WP,'','',1
65,'',``,'','',3
66,(,$,(,(,2
67,(,$,{,{,1
68,(,'',(,(,2
69,(,'',{,{,1
70,(,",",(,(,8
71,(,.,(,(,15
72,(,.,{,{,2
73,(,CC,(,(,10
74,(,CC,{,{,2
75,(,CD,(,(,3
76,(,CD,{,{,1
77,(,DT,(,(,4
78,(,DT,{,{,2
79,(,IN,(,(,28
80,(,IN,{,{,2
81,(,JJ,(,(,1
82,(,JJ,{,{,1
83,(,MD,(,(,2
84,(,MD,{,{,1
85,(,NN,(,(,2
86,(,NN,{,{,5
87,(,NNP,(,(,8
88,(,NNP,{,{,8
89,(,NNS,(,(,3
90,(,POS,(,(,2
91,(,PRP,(,(,1
92,(,TO,(,(,4
93,(,VB,(,(,1
94,(,VB,{,{,2
95,(,VBD,(,(,1
96,(,VBD,{,{,1
97,(,VBG,{,{,1
98,(,VBN,(,(,2
99,(,VBN,{,{,4
100,(,VBP,(,(,4
101,(,``,(,(,3
102,),'',),),1
103,),",",),),5
104,),",",},},3
105,),.,),),3
106,),.,},},1
107,),:,),),2
108,),CC,},},2
109,),CD,),),4
110,),DT,),),1
111,),DT,},},1
112,),IN,),),11
113,),JJ,},},1
114,),MD,},},1
115,),NN,),),22
116,),NN,},},6
117,),NNP,),),17
118,),NNP,},},6
119,),NNPS,),),1
120,),NNS,),),10
121,),NNS,},},3
122,),POS,},},1
123,),PRP,),),6
124,),PRP,},},1
125,),RB,),),3
126,),RBR,),),1
127,),RP,},},1
128,),TO,),),3
129,),VB,),),1
130,),VBD,),),2
131,),VBN,},},1
132,),VBP,),),2
133,),VBP,},},1
134,),VBZ,},},1
135,),WDT,),),2
136,),WDT,},},4
137,),WP,),),2
138,),``,),),3
139,",",$,",",",",7
140,",",(,",",",",1
141,",",),",",",",2
142,",",.,",",",",6
143,",",:,",",",",7
144,",",CC,",",",",1
145,",",CD,",",",",6
146,",",DT,",",",",8
147,",",EX,",",",",1
148,",",FW,",",",",1
149,",",IN,",",",",8
150,",",JJ,",",",",6
151,",",JJR,",",",",1
152,",",MD,",",",",4
153,",",NN,",",",",5
154,",",NNP,",",",",4
155,",",NNPS,",",",",1
156,",",NNS,",",",",7
157,",",NNS,underwriters,underwriters,1
158,",",PRP,",",",",11
159,",",RB,",",",",4
160,",",TO,",",",",4
161,",",VB,",",",",5
162,",",VBG,",",",",2
163,",",VBN,",",",",1
164,",",VBZ,",",",",4
165,",",WRB,",",",",1
166,",",``,",",",",2
167,.,'',!,!,1
168,.,",",!,!,1
169,.,",",.,.,9
