,O,NNP,",",CD,NNS,JJ,MD,VB,DT,NN,IN,.,VBZ,VBG,END
O O,0.0009852216748768474,0.9862068965517241,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474
O NNP,0.0009852216748768474,0.9862068965517241,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474
NNP NNP,0.0003316749585406302,0.0003316749585406302,0.6636815920398009,0.0003316749585406302,0.0003316749585406302,0.0003316749585406302,0.0003316749585406302,0.0003316749585406302,0.0003316749585406302,0.0003316749585406302,0.0003316749585406302,0.0003316749585406302,0.33200663349917076,0.0003316749585406302,0.0003316749585406302
"NNP ,",0.0004962779156327543,0.0004962779156327543,0.0004962779156327543,0.49677419354838703,0.0004962779156327543,0.0004962779156327543,0.0004962779156327543,0.0004962779156327543,0.49677419354838703,0.0004962779156327543,0.0004962779156327543,0.0004962779156327543,0.0004962779156327543,0.0004962779156327543,0.0004962779156327543
", CD",0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.9862068965517241,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474
CD NNS,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.9862068965517241,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474
NNS JJ,0.0009852216748768474,0.0009852216748768474,0.9862068965517241,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474
"JJ ,",0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.9862068965517241,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474
", MD",0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.9862068965517241,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474
MD VB,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.9862068965517241,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474
VB DT,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.9862068965517241,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474
DT NN,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.9862068965517241,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474
NN IN,0.0004962779156327543,0.49677419354838703,0.0004962779156327543,0.0004962779156327543,0.0004962779156327543,0.0004962779156327543,0.0004962779156327543,0.0004962779156327543,0.49677419354838703,0.0004962779156327543,0.0004962779156327543,0.0004962779156327543,0.0004962779156327543,0.0004962779156327543,0.0004962779156327543
IN DT,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.9862068965517241,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474
DT JJ,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.9862068965517241,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474
JJ NN,0.0009852216748768474,0.9862068965517241,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474
NN NNP,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.9862068965517241,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474
NNP CD,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.9862068965517241,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474
CD .,0.0009852216748768474,0.9862068965517241,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474
. NNP,0.0009852216748768474,0.9862068965517241,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474,0.0009852216748768474
